event,latency
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",428
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",418
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",388
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",378
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",368
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",338
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",298
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",321
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",311
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",301
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",291
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",267
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",261
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",243
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",219
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",133
"{'situation': 'BlockedByDebris', 'object': 'GasStation'}",117
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",664
"{'situation': 'TrafficJam', 'object': 'School'}",527
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",502
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",496
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",456
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",422
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",416
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",200
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",166
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",160
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",14
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",0
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",1036
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",1036
"{'situation': 'PanickedPeople', 'object': 'Family'}",982
"{'situation': 'PanickedPeople', 'object': 'Students'}",973
"{'situation': 'PanickedPeople', 'object': 'Family'}",863
"{'situation': 'BlockedBuilding', 'object': 'Family'}",855
"{'situation': 'BlockedBuilding', 'object': 'Family'}",847
"{'situation': 'BlockedBuilding', 'object': 'Family'}",825
"{'situation': 'OnFireBuilding', 'object': 'GasStation'}",819
"{'situation': 'PanickedPeople', 'object': 'Students'}",704
"{'situation': 'PanickedPeople', 'object': 'Students'}",698
"{'situation': 'PanickedPeople', 'object': 'Students'}",688
"{'situation': 'PanickedPeople', 'object': 'Students'}",682
"{'situation': 'PanickedPeople', 'object': 'Students'}",672
"{'situation': 'PanickedPeople', 'object': 'Students'}",654
"{'situation': 'PanickedPeople', 'object': 'Students'}",636
"{'situation': 'PanickedPeople', 'object': 'Students'}",588
"{'situation': 'PanickedPeople', 'object': 'Students'}",582
"{'situation': 'PanickedPeople', 'object': 'Students'}",517
"{'situation': 'PanickedPeople', 'object': 'Students'}",507
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",139
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",127
"{'situation': 'CollapsedBuilding', 'object': 'Hospital'}",1002
"{'situation': 'NoWaterPeople', 'object': 'School'}",316
"{'situation': 'NoWaterPeople', 'object': 'School'}",308
"{'situation': 'NoWaterPeople', 'object': 'School'}",278
"{'situation': 'NoWaterPeople', 'object': 'School'}",270
"{'situation': 'NoWaterPeople', 'object': 'School'}",240
"{'situation': 'NoWaterPeople', 'object': 'School'}",232
"{'situation': 'NoWaterPeople', 'object': 'School'}",202
"{'situation': 'NoWaterPeople', 'object': 'School'}",172
"{'situation': 'NoWaterPeople', 'object': 'School'}",88
"{'situation': 'NoWaterPeople', 'object': 'School'}",72
"{'situation': 'NoWaterPeople', 'object': 'School'}",64
"{'situation': 'NoWaterPeople', 'object': 'School'}",56
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",1025
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1045
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1045
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1001
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",1006
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",981
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",975
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",938
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",939
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",825
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1015
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",1005
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",995
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",970
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",925
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",895
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",838
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",813
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",803
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",786
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",776
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",763
"{'situation': 'PanickedPeople', 'object': 'Crossroad'}",751
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",753
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",743
"{'situation': 'MildlyInjuredPeople', 'object': 'Family'}",703
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1012
"{'situation': 'NoWaterPeople', 'object': 'Family'}",994
"{'situation': 'NoWaterPeople', 'object': 'Family'}",1003
"{'situation': 'NoWaterPeople', 'object': 'Family'}",969
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",709
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",673
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",665
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",667
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",854
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",667
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",640
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",629
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",602
"{'situation': 'TrafficJam', 'object': 'School'}",499
"{'situation': 'TrafficJam', 'object': 'School'}",443
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",599
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",563
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",538
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",553
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",462
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",522
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",504
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",467
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",423
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",385
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",340
"{'situation': 'BlockedBuilding', 'object': 'Family'}",791
"{'situation': 'BlockedBuilding', 'object': 'Family'}",776
"{'situation': 'BlockedBuilding', 'object': 'Family'}",751
"{'situation': 'BlockedBuilding', 'object': 'Family'}",736
"{'situation': 'BlockedBuilding', 'object': 'Family'}",648
"{'situation': 'BlockedBuilding', 'object': 'Family'}",560
"{'situation': 'TrafficJam', 'object': 'School'}",237
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",1071
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",1071
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",989
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",961
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",933
"{'situation': 'PanickedPeople', 'object': 'Family'}",1017
"{'situation': 'PanickedPeople', 'object': 'Students'}",1008
"{'situation': 'PanickedPeople', 'object': 'Students'}",972
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",873
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",498
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",474
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",468
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",462
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",727
"{'situation': 'SeverelyInjuredPeople', 'object': 'MiddleAgePerson'}",531
"{'situation': 'NoWaterPeople', 'object': 'GasStation'}",0
"{'situation': 'SeverelyInjuredPeople', 'object': 'House'}",0
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",0
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",0
"{'situation': 'BlockedBuilding', 'object': 'GreenGrocery'}",0
"{'situation': 'NoMedicinePeople', 'object': 'GasStation'}",0
"{'situation': 'FloodedBuilding', 'object': 'Crossroad'}",0
"{'situation': 'NoWaterPeople', 'object': 'Hospital'}",1193
"{'situation': 'NoWaterPeople', 'object': 'YoungPerson'}",1035
"{'situation': 'NoWaterPeople', 'object': 'YoungPerson'}",1011
"{'situation': 'NoWaterPeople', 'object': 'YoungPerson'}",954
"{'situation': 'DeadPeople', 'object': 'Crowded'}",648
"{'situation': 'DeadPeople', 'object': 'Crowded'}",564
"{'situation': 'PanickedPeople', 'object': 'Family'}",442
"{'situation': 'PanickedPeople', 'object': 'Family'}",366
"{'situation': 'PanickedPeople', 'object': 'Family'}",290
"{'situation': 'PanickedPeople', 'object': 'Family'}",722
"{'situation': 'PanickedPeople', 'object': 'Family'}",544
"{'situation': 'DeadPeople', 'object': 'Crowded'}",725
"{'situation': 'DeadPeople', 'object': 'Crowded'}",719
"{'situation': 'DeadPeople', 'object': 'Crowded'}",713
"{'situation': 'PanickedPeople', 'object': 'Family'}",591
"{'situation': 'PanickedPeople', 'object': 'Family'}",249
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",1236
"{'situation': 'NoFoodPeople', 'object': 'OldPerson'}",1219
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",1045
"{'situation': 'NoFoodPeople', 'object': 'OldPerson'}",1133
"{'situation': 'NoFoodPeople', 'object': 'OldPerson'}",1123
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",939
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",937
"{'situation': 'PanickedPeople', 'object': 'PoliceStation'}",1193
"{'situation': 'PanickedPeople', 'object': 'PoliceStation'}",1119
"{'situation': 'TrafficJam', 'object': 'YoungPerson'}",1023
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",965
"{'situation': 'PanickedPeople', 'object': 'PoliceStation'}",1015
"{'situation': 'TrafficJam', 'object': 'YoungPerson'}",908
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",875
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",815
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",755
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",713
"{'situation': 'PanickedPeople', 'object': 'GreenGrocery'}",719
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",705
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",699
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",691
"{'situation': 'BlockedBuilding', 'object': 'ButcheryShop'}",685
